"","X","Age","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Male","Loyal.Customer","Business.travel","satisfied"
"33",33,41,0,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,1,0,1,0
"34",34,22,0,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,1,1,0,0
"35",35,53,0,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,0,1,1,1
"36",36,12,0,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,1,1,0,0
"37",37,39,2,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,0,1,1,1
"38",38,55,2,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,0,1,1,1
"39",39,32,2,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,0,0,1,0
"40",40,40,0,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,0,1,0,0
"41",41,42,2,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,0,0,1,0
"42",42,24,0,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,1,0,1,1
"43",43,22,2,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,1,1,1,0
"44",44,28,2,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,0,1,1,1
"45",45,36,1,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,0,1,1,0
"46",46,62,0,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,0,1,1,1
"47",47,60,2,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,0,1,1,1
"48",48,59,0,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,0,1,0,0
"49",49,49,2,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,0,1,1,1
"50",50,44,0,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,0,1,0,0
"51",51,58,1,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,0,1,0,0
"52",52,24,2,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,1,0,1,1
"53",53,53,0,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,0,1,1,1
"54",54,56,0,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,1,1,1,0
"55",55,30,2,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,0,1,1,1
"56",56,27,2,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,1,0,1,0
"57",57,27,2,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,1,1,1,1
"58",58,67,0,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,0,1,0,0
"59",59,32,0,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,0,1,0,0
"60",60,36,0,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,1,0,1,0
"61",61,44,2,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,1,1,1,1
"62",62,70,0,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,0,1,0,0
"63",63,55,0,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,0,1,0,0
"64",64,66,0,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,1,1,1,1
"65",65,19,2,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,0,1,1,1
"66",66,53,1,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,0,1,0,0
"67",67,22,2,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,1,1,1,0
"68",68,69,0,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,0,1,0,0
"69",69,42,2,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,0,1,1,1
"70",70,41,2,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,0,1,1,1
"71",71,53,2,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,0,1,0,0
"72",72,35,2,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,1,1,1,0
"73",73,54,2,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,0,1,0,0
"74",74,44,2,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,1,1,1,1
"75",75,26,1,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,0,0,1,0
"76",76,44,0,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,0,1,0,0
"77",77,24,0,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,0,0,1,0
"78",78,54,0,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,0,1,0,0
"79",79,42,1,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,1,1,1,0
"80",80,36,0,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,1,0,1,0
"81",81,61,2,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,0,1,1,1
"82",82,50,0,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,0,1,0,0
"83",83,27,2,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,1,1,1,1
"84",84,55,2,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,1,1,1,0
"85",85,21,0,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,1,0,1,0
"86",86,31,2,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,0,1,0,0
"87",87,37,0,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,0,0,1,0
"88",88,50,2,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,0,1,1,1
"89",89,21,0,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,0,1,0,0
"90",90,53,0,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,0,1,1,0
"91",91,45,2,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,1,1,1,1
"92",92,42,0,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,0,0,1,0
"93",93,59,2,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,1,1,1,1
"94",94,54,0,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,0,1,1,0
"95",95,46,2,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,0,1,1,1
"96",96,52,1,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,0,1,0,0
"97",97,38,0,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,0,1,0,0
"98",98,35,2,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,1,1,1,1
"99",99,41,0,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,0,1,0,0
"100",100,40,2,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,0,0,1,0
"101",101,36,0,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,0,0,1,0
"102",102,67,0,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,1,1,0,0
"103",103,38,0,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,0,1,0,1
"104",104,50,0,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,0,1,0,0
"105",105,50,2,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,1,1,1,1
"106",106,54,2,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,1,1,1,1
"107",107,56,2,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,1,1,1,1
"108",108,38,0,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2,1,1,0,0
"109",109,7,0,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,0,1,0,0
"110",110,32,2,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,0,1,1,1
"111",111,45,0,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,1,1,1,0
"112",112,25,0,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,1,0,1,0
"113",113,45,2,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,0,1,1,1
"114",114,34,0,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0,1,1,0,0
"115",115,20,1,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,1,1,0,0
"116",116,36,0,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6,0,0,1,0
"117",117,36,0,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,1,0,1,0
"118",118,27,2,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0,1,1,1,1
"119",119,40,0,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,1,1,0,0
"120",120,31,2,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,1,1,1,1
"121",121,25,1,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0,1,1,1,1
"122",122,42,2,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0,1,1,1,1
"123",123,45,0,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,0,1,1,1
"124",124,59,2,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,1,1,0,0
"125",125,34,0,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,1,1,0,0
"126",126,22,0,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,0,1,0,0
"127",127,21,0,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0,1,1,0,0
"128",128,26,2,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10,1,1,1,0
"129",129,37,2,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86,1,1,1,1
"130",130,38,2,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,1,1,1,1
"131",131,17,0,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,0,1,0,0
"132",132,15,1,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,1,1,0,0
"133",133,53,0,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,0,1,0,0
"134",134,39,2,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88,1,0,1,0
"135",135,40,2,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,1,1,1,1
"136",136,28,1,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46,0,0,1,0
"137",137,27,2,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,0,0,1,0
"138",138,41,2,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,0,1,1,1
"139",139,7,0,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,0,1,0,0
"140",140,48,2,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,1,0,1,0
"141",141,13,0,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,1,1,1,0
"142",142,48,2,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,0,1,1,1
"143",143,49,0,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,0,1,0,0
"144",144,26,2,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,1,0,1,1
"145",145,22,2,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,1,1,1,1
"146",146,53,2,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,0,1,1,0
"147",147,43,0,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,0,1,1,1
"148",148,56,2,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,1,1,1,1
"149",149,69,0,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,0,1,0,0
"150",150,59,0,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,1,1,0,1
"151",151,56,2,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,0,1,1,1
"152",152,11,0,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,1,1,0,1
"153",153,25,0,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,0,1,1,1
"154",154,29,0,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,0,0,1,1
"155",155,48,0,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,0,1,1,1
"156",156,42,2,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,0,1,1,1
"157",157,15,0,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,1,0,1,0
"158",158,49,2,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,0,0,1,0
"159",159,41,2,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,1,1,1,1
"160",160,43,2,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,1,1,1,1
"161",161,60,2,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,1,1,1,1
"162",162,42,0,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,0,1,0,1
"163",163,8,0,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,0,1,0,0
"164",164,42,0,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,0,1,1,1
"165",165,18,1,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,1,0,1,0
"166",166,47,2,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,1,1,1,1
"167",167,27,0,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,0,0,1,0
"168",168,67,1,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,0,1,0,0
"169",169,38,2,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,1,0,1,1
"170",170,20,0,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0,0,0,1,0
"171",171,60,2,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,0,1,1,1
"172",172,23,2,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,1,0,1,1
"173",173,25,2,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0,1,0,1,0
"174",174,38,2,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,0,1,1,1
"175",175,40,2,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4,0,1,1,1
"176",176,19,0,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0,1,1,0,0
"177",177,61,2,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0,0,1,1,1
"178",178,44,0,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6,1,1,0,0
"179",179,22,0,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35,0,1,0,0
"180",180,8,0,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0,0,0,1,0
"181",181,45,2,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16,0,1,1,0
"182",182,46,0,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25,1,1,0,1
"183",183,54,2,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77,0,1,1,0
"184",184,62,0,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0,1,1,0,0
"185",185,25,2,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0,0,1,1,1
"186",186,32,0,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0,0,1,0,0
"187",187,65,0,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3,0,1,0,0
"188",188,40,2,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0,1,0,1,0
"189",189,30,1,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0,0,1,1,1
"190",190,67,0,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0,0,1,0,0
"191",191,51,2,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0,1,1,1,1
"192",192,47,2,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3,0,1,1,1
"193",193,38,0,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0,0,1,1,0
"194",194,54,2,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0,1,1,1,1
"195",195,57,0,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4,0,1,0,0
"196",196,13,0,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0,1,1,0,0
"197",197,20,0,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0,0,0,1,1
"198",198,45,2,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94,0,1,1,0
"199",199,51,2,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0,0,1,1,1
"200",200,25,2,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0,1,0,1,1
"201",201,39,0,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163,0,1,0,0
"202",202,46,2,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16,0,1,1,1
"203",203,53,0,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0,1,1,1,0
"204",204,61,0,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0,0,1,0,1
"205",205,61,1,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102,0,1,1,1
"206",206,16,0,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42,1,1,0,0
"207",207,44,2,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1,0,1,1,0
"208",208,17,2,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0,0,1,1,1
"209",209,50,0,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49,0,1,1,0
"210",210,40,2,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,4,0,0,1,1
"211",211,47,2,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0,1,1,1,1
"212",212,80,2,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0,0,1,1,1
"213",213,38,0,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0,0,1,0,1
"214",214,31,0,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,0,1,1,0,1
"215",215,59,2,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15,1,1,1,0
"216",216,22,2,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0,0,1,1,0
"217",217,53,2,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,3,0,1,1,1
"218",218,56,1,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0,0,1,1,1
"219",219,48,0,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0,0,1,0,0
"220",220,38,2,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25,1,0,1,0
"221",221,64,0,129,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9,1,1,0,0
"222",222,67,0,591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,0,1,1,0,0
"223",223,62,2,3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0,0,1,1,1
"224",224,57,2,1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,15,1,1,1,1
"225",225,27,0,986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,32,0,0,1,0
"226",226,25,0,1024,1,1,1,3,5,1,5,5,1,4,4,1,4,5,13,11,0,0,1,0
"227",227,52,0,919,3,4,4,4,3,2,2,3,3,3,3,1,3,1,85,72,0,1,1,0
"228",228,45,1,576,4,2,2,2,3,1,3,4,4,4,4,5,4,2,0,0,0,1,1,1
"229",229,23,0,423,3,3,3,3,1,3,1,1,2,2,3,3,3,1,6,13,0,0,1,0
"230",230,55,0,1416,5,2,2,2,5,5,5,5,4,3,5,2,5,5,1,0,1,1,1,1
"231",231,53,2,1464,3,2,2,2,5,4,4,3,3,3,3,3,3,3,0,0,1,1,1,0
"232",232,9,0,715,4,4,4,3,1,4,1,1,5,4,4,4,4,1,11,4,0,1,0,1
"233",233,33,2,541,2,2,3,2,4,4,4,4,5,2,5,3,4,4,86,85,1,1,1,1
"234",234,64,2,293,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,0,1,0,1,0
"235",235,8,0,2092,2,3,3,3,4,2,4,4,4,3,3,3,3,4,26,23,0,0,1,0
"236",236,34,0,1053,4,4,4,1,3,4,3,3,3,2,5,3,5,3,34,15,1,1,0,0
"237",237,59,0,2521,1,1,1,3,1,3,5,2,3,3,2,5,2,5,0,2,1,1,0,0
"238",238,13,2,2544,3,1,3,3,3,3,3,3,4,3,4,3,3,3,0,0,0,1,1,0
"239",239,44,0,158,4,4,4,2,2,4,2,2,2,5,1,4,5,2,0,0,1,1,0,0
"240",240,54,2,1741,1,1,1,1,4,4,5,4,4,4,4,4,4,3,0,0,1,1,1,1
"241",241,36,2,2651,4,4,4,4,3,4,4,5,5,5,5,5,5,3,10,0,1,1,1,1
"242",242,11,0,760,3,5,3,1,5,3,5,5,3,5,5,4,4,5,102,88,0,1,0,0
"243",243,32,0,1036,1,5,1,2,5,1,5,5,5,5,5,5,4,5,12,9,0,1,0,0
"244",244,42,0,2586,1,3,3,3,1,1,1,3,5,2,3,1,4,1,0,0,1,1,1,0
"245",245,27,0,1081,1,1,1,4,2,1,2,2,1,5,3,3,1,2,4,0,0,0,1,0
"246",246,33,0,646,2,4,2,3,3,2,3,3,4,1,3,2,5,3,1,0,1,1,0,0
"247",247,28,2,308,1,3,3,3,1,1,1,1,3,3,3,3,3,1,0,0,0,1,1,0
"248",248,44,0,227,4,5,0,1,2,0,2,2,3,4,4,5,5,2,0,0,1,1,0,1
"249",249,49,0,1754,3,3,3,3,4,3,5,4,1,4,3,4,4,4,33,28,1,0,1,0
"250",250,59,2,2176,2,3,2,2,3,5,2,5,5,5,5,4,5,4,5,0,1,1,1,1
"251",251,20,2,271,0,0,0,1,1,0,1,1,5,4,4,4,4,1,0,0,1,0,1,1
"252",252,46,2,1522,3,2,3,3,3,5,4,4,4,4,4,3,4,5,0,0,0,1,1,1
"253",253,36,0,325,5,5,5,5,5,5,5,5,1,5,3,1,3,5,0,0,1,1,1,1
"254",254,62,2,3217,2,2,2,2,5,4,4,4,4,4,4,4,4,5,19,16,0,1,1,1
"255",255,59,2,1491,3,3,3,3,2,4,4,3,3,2,3,4,3,3,15,14,1,1,1,1
"256",256,29,0,331,3,4,3,4,3,3,3,3,5,4,2,2,4,3,0,0,0,1,0,0
"257",257,41,2,371,2,2,2,1,1,2,1,1,4,4,2,1,1,1,35,30,0,0,1,0
"258",258,7,0,727,1,5,1,3,4,1,4,4,4,1,1,5,4,4,0,0,1,1,0,0
"259",259,65,2,1249,3,5,3,2,4,4,4,3,3,3,3,4,3,5,40,44,0,1,0,0
"260",260,50,2,2614,2,2,2,2,5,4,4,2,4,4,2,4,2,4,0,9,1,1,1,1
"261",261,20,0,951,2,3,3,3,2,2,4,2,3,5,3,1,4,2,57,41,0,1,1,0
"262",262,58,2,2498,3,3,3,3,4,4,4,5,5,5,5,4,5,3,0,0,0,1,1,1
"263",263,45,1,545,2,5,2,2,4,1,1,2,2,2,4,4,2,3,14,20,0,1,0,0
"264",264,46,1,1838,1,5,1,3,5,1,5,5,3,2,5,4,5,5,0,0,1,1,0,0
